PDB,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
1a6w_NIP_H_decoys_3,-28.4725,5.31079,9.74172,-1.33728,0,-2.84058,-20.4202,612.577,2,0.717192,3,0.456929,0.641333,0.358667,2832,715,702,0,350,92,82,0,528,138,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,35,0,0,1,-48898.29022,2,29,1,0,0,0,-4.4,43.91,0.24,81.08,495.05,0
1a9u_SB2_A_decoys_1,-20.1069,6.2895,6.84963,-4.95115,0,-0.854014,-16.2947,606.958,1,0.621974,2,0.395413,0.688749,0.311251,2884,758,781,25,306,93,90,2,323,90,94,2,473,129,133,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,0,5,0,-154000.8397,1,17,0,0,1,0,0.1,58.44,0.26,49.41,460.73,0
1a9u_SB2_A_decoys_2,-14.4638,2.83294,8.1315,-3.52632,0,0,-8.95118,559.969,0,0.595466,1,0.489381,0.700732,0.299268,2014,563,609,16,393,118,130,3,146,37,47,2,946,233,235,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,5,0,5,0,98665.1989,0,7,0,0,0,0,-4.6,60.85,0.38,46.92,449.87,0
1a9u_SB2_A_decoys_3,-20.099,3.87368,5.61571,-1.53474,0,0,-15.3675,553.751,0,0.623825,2,0.475181,0.706019,0.293981,2405,627,686,21,283,81,82,3,278,78,84,3,214,45,49,1,0,0,0,0,0,0,0,0,0,0,0,0,123,38,38,1,0,0,0,0,1,28,8,0,7,0,54624.92324,0,17,0,0,1,0,-1.9,39.34,0.18,49.41,429.38,0
1afe_ALZ_H_decoys_1,-12.0517,1.64518,8.11624,-7.2093,0,-2.91154,-12.6807,533.613,2,0.617877,1,0.473339,0.601414,0.398586,1543,390,436,26,411,110,122,8,357,91,104,10,0,0,0,0,0,0,0,0,95,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,3,-143117.3937,2,7,0,0,0,0,-1.6,37.5,0.29,102.56,423.74,0
1afe_ALZ_H_decoys_2,-16.7116,1.81107,9.42787,-5.50617,-1.11809,0,-13.3231,649.473,1,0.604393,6,0.374022,0.570694,0.429306,1828,482,546,42,284,72,88,5,478,129,144,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,45,47,4,0,0,0,0,0,5,27,0,11,12,-154296.4887,1,3,0,0,0,1,0.1,33.86,0.46,93.81,450,0
1afe_ALZ_H_decoys_3,-21.8445,12.5952,14.3193,-8.23254,0,-1.98398,-10.4536,664.469,2,0.632914,5,0.350377,0.550402,0.449598,1725,469,546,47,579,152,181,14,503,126,150,8,0,0,0,0,0,0,0,0,138,32,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2,15,151952.8385,2,9,0,0,0,1,-2.7,35.29,0.45,130.04,453.32,0
1aim_ZYA_A_decoys_1,-28.6498,4.72135,8.98838,-4.21233,-0.605819,0,-22.85,673.321,1,0.762282,8,0.462653,0.620437,0.379563,1788,530,652,38,402,120,136,9,292,90,107,8,0,0,0,0,0,0,0,0,260,78,93,6,0,0,0,0,0,0,0,0,0,0,0,0,18,11,17,0,27,16,85426.06817,3,16,0,0,0,0,-5.5,48.14,0.06,79.46,475.45,0
1aim_ZYA_A_decoys_2,-28.5857,3.99959,11.4761,-7.05555,-1.57614,0,-23.3137,656.911,2,0.76007,5,0.45749,0.505151,0.494849,1940,565,658,55,373,109,131,10,275,84,101,6,0,0,0,0,0,0,0,0,156,44,53,3,132,41,44,4,0,0,0,0,0,0,0,0,12,12,22,0,17,37,80284.54683,3,12,0,0,1,0,-5.4,49,0.06,79.46,481.47,0
1aim_ZYA_A_decoys_3,-26.6647,5.02277,8.86249,-3.31122,-1.17243,0,-20.2289,708.45,1,0.743352,6,0.484934,0.550857,0.449143,2280,670,777,66,343,109,118,12,341,99,122,12,59,18,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,30,0,5,35,-198650.8938,1,18,0,0,1,0,-5.9,46.89,0.19,87.3,543.56,0
1aj7_NPE_H_decoys_1,-27.2683,3.9834,11.9991,-3.78294,-0.216005,0,-18.8205,624.695,1,0.660922,2,0.386259,0.702941,0.297059,2302,580,562,12,209,52,51,1,675,171,175,1,0,0,0,0,0,0,0,0,152,40,41,1,257,60,60,3,0,0,0,0,0,0,0,0,0,56,21,0,0,9,16699.6603,2,26,1,0,1,1,-7.5,37.3,0.25,103.7,385.83,0
1aj7_NPE_H_decoys_2,-29.9631,7.26308,18.3074,-9.65358,-0.871972,-1.62263,-21.4761,617.221,3,0.670784,4,0.334273,0.697705,0.302295,2764,702,679,19,712,188,186,4,677,172,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,45,0,2,14,11192.64335,6,30,2,0,2,2,-5.8,45.53,0.21,134.41,418.1,0
1az8_IN4_A_decoys_1,-20.1384,2.60124,14.8432,-11.8766,-1.87845,0,-17.7924,589.955,3,0.651997,4,0.516658,0.506333,0.493667,1633,486,633,49,348,105,143,11,190,53,71,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,55,-321024.1705,4,3,0,0,0,0,0.6,15.82,0.89,82.26,593.28,0
1az8_IN4_A_decoys_2,-28.8213,3.57159,18.079,-14.3435,-2.47865,-1.69414,-28.5413,761.146,4,0.657001,7,0.456039,0.467416,0.532584,2280,682,841,63,442,127,157,16,384,114,148,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,1,78,-45255.89541,5,15,0,0,0,0,-9.6,38.74,0.36,107.04,578.86,0
1az8_IN4_A_decoys_3,-30.7771,5.80225,10.7589,-4.76278,-0.596443,0,-24.1456,677.294,1,0.645564,7,0.426145,0.510188,0.489812,1697,501,606,45,432,131,157,11,194,58,74,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,2,52,-121224.6398,2,13,0,0,0,0,0.6,15.82,0.86,82.26,533.09,0
1bgq_RDC_A_decoys_1,-26.2806,20.9627,10.4178,-9.76208,-0.762473,-0.000765013,-13.5982,698.391,2,0.633654,4,0.35,0.710428,0.289572,3323,894,1059,22,743,194,232,4,190,49,58,1,229,68,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,38,11,0,5,7,-148773.0518,1,22,0,0,0,0,-0.5,53.54,0.1,76.86,447.72,0
1bgq_RDC_A_decoys_2,-31.3671,528.486,7.71383,1.75407,0,0,267.694,702.85,0,0.685337,7,0.358976,0.682365,0.317635,3694,904,1110,20,800,189,232,5,209,52,59,1,0,0,0,0,0,0,0,0,0,0,0,0,143,37,48,1,0,0,0,0,0,0,0,0,32,27,11,11,4,1,18118.57232,0,30,0,0,0,0,4.5,45.36,0.1,76.86,449.46,0
1bgq_RDC_A_decoys_3,-20.6975,5.28935,6.86406,-1.53837,0,-0.557207,-13.4271,655.535,1,0.616684,6,0.455453,0.67716,0.32284,3159,862,1002,22,436,123,141,3,264,76,91,2,40,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14,6,0,5,0,18595.30628,2,13,0,0,0,0,-0.5,38.54,0.32,67.59,476.56,0
1bl7_SB4_A_decoys_1,-19.7903,8.78366,11.0352,1.71464,0,0,-1.48967,683.497,0,0.53375,3,0.35643,0.698621,0.301379,2732,738,796,19,787,196,228,6,375,86,95,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,15,0,1,2,-9990.957347,1,8,0,0,0,0,3.9,29.61,0.44,116.12,450.94,0
1bl7_SB4_A_decoys_2,-21.037,54.4719,8.8854,3.59806,0,0,22.5417,651.973,0,0.570317,5,0.371445,0.664106,0.335894,2990,732,804,20,807,197,221,8,281,80,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,7,0,12,0,165846.4332,1,17,0,0,0,1,2,29.61,0.44,116.12,478.94,0
1bl7_SB4_A_decoys_3,-21.8354,5.05477,11.0142,-12.6601,0,0,-19.751,695.393,0,0.628073,4,0.338205,0.638665,0.361335,2299,649,703,17,605,173,184,5,494,132,152,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,0,3,3,-421030.0407,0,8,0,0,0,1,1.5,22.25,0.73,108.35,467.57,0
1bmk_SB5_A_decoys_1,-25.3279,7.62698,8.84574,-9.62826,-0.690449,-1.50225,-24.2396,573.477,2,0.6472,4,0.388425,0.705908,0.294092,2068,509,546,21,681,174,184,6,161,41,45,2,0,0,0,0,0,0,0,0,340,84,96,3,0,0,0,0,0,0,0,0,0,0,0,0,1,54,23,0,27,0,-193427.795,4,23,0,0,0,0,-5.6,33.19,0.17,76.97,337.99,0
1bmk_SB5_A_decoys_2,-22.0316,8.62677,-0.951829,-2.3,-0.452062,0,-21.2979,606.626,1,0.617332,1,0.392724,0.741514,0.258486,2351,610,636,25,457,117,126,5,261,73,76,3,0,0,0,0,0,0,0,0,134,36,40,2,0,0,0,0,0,0,0,0,0,0,0,0,4,26,8,0,8,1,-4207.037332,1,14,0,0,0,1,3.7,27.56,0.6,66.64,508.47,0
1bmk_SB5_A_decoys_3,-23.4885,5.50855,11.594,-7.36927,0,-0.807996,-17.532,633.622,1,0.631548,4,0.370001,0.668143,0.331857,2325,609,630,20,474,125,136,6,357,95,93,2,0,0,0,0,0,0,0,0,179,48,49,2,0,0,0,0,0,0,0,0,0,0,0,0,1,25,8,0,5,1,-125185.3034,1,12,0,0,0,0,0.5,15.28,1,61.44,501.43,0
1c1b_GCA_A_decoys_1,-35.9099,9.04276,1.30367,-2.19356,0,-1.6682,-34.7654,744.734,1,0.558425,2,0.268288,0.830414,0.169586,3998,916,1021,6,903,213,223,3,222,51,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,16,1,-10257.71838,1,43,2,0,0,0,0.3,34.46,0.26,55.87,470.04,0
1c1b_GCA_A_decoys_2,-39.3392,8.64363,4.32507,-0.238878,0,0,-32.2,776.998,0,0.574738,6,0.293587,0.822011,0.177989,3125,709,798,9,643,153,165,1,398,96,101,0,169,35,45,2,0,0,0,0,213,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4,0,16,7,8885.491292,0,50,3,0,0,0,-2.5,44.31,0.12,67.16,430.86,0
1c1b_GCA_A_decoys_3,-38.4901,10.0072,-2.47298,-3.09329,-1.9021,0,-41.1119,851.545,1,0.558423,3,0.277948,0.846336,0.153664,3688,839,950,18,430,96,117,2,627,142,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,3,0,17,0,-199263.2965,1,71,3,0,0,0,-2.5,42.56,0.32,59.59,532.02,0
1c1c_612_A_decoys_1,-30.593,8.22862,1.92388,-1.99759,0,0,-26.6479,754.148,0,0.556205,8,0.261288,0.820075,0.179925,3923,937,1010,20,209,53,55,1,766,175,203,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4,0,4,3,-40971.04838,0,37,3,0,0,0,-0.2,38.11,0.16,64.63,412.28,0
1c1c_612_A_decoys_2,-31.8534,5.55808,-1.02487,-0.444125,0,0,-32.005,742.581,0,0.576787,6,0.234123,0.892581,0.107419,2740,647,730,8,657,161,169,2,413,101,108,1,0,0,0,0,0,0,0,0,435,102,108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,7,0,-10740.04165,1,27,0,0,1,0,-3,33.49,0.46,68.02,441.2,0
1c1c_612_A_decoys_3,-28.2385,3.87897,-0.28059,-0.960879,0,0,-27.8249,822.317,0,0.552531,5,0.257381,0.820255,0.179745,3198,768,843,19,431,108,110,2,563,127,152,4,0,0,0,0,0,0,0,0,214,49,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,3,-44652.75947,0,21,1,0,0,0,1.6,39.04,0.31,68.29,463.08,0
1c1e_ENH_H_decoys_1,-27.9696,4.31729,9.67447,-3.96304,0,0,-20.8788,667.412,0,0.675145,7,0.342176,0.666058,0.333942,2604,655,681,26,165,44,48,2,377,84,95,6,0,0,0,0,0,0,0,0,178,43,46,3,0,0,0,0,0,0,0,0,101,28,30,1,0,28,12,0,22,10,-74423.155,0,21,0,0,0,0,1.8,35.5,0.2,37.38,418.36,0
1c1e_ENH_H_decoys_2,-23.3589,161.723,10.5939,-0.934001,0,-1.40298,75.3687,593.829,1,0.621708,3,0.362659,0.722439,0.277561,2297,571,594,29,551,135,135,8,187,43,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,36,38,2,0,60,10,0,18,9,63643.37499,2,20,1,0,0,0,-0.9,31.12,0.15,58.8,350.78,0
1c1e_ENH_H_decoys_3,-31.3859,8.9218,6.29491,-1.0629,0,-1.3719,-23.849,682.739,1,0.611379,5,0.34054,0.810804,0.189196,2874,693,725,30,156,38,40,2,551,129,126,6,108,27,36,0,0,0,0,0,281,72,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,48,14,0,5,12,6177.623365,1,22,2,0,0,0,-2.5,48.66,0.06,38.77,396.52,0
1c5q_ESI_A_decoys_1,-25.9414,6.14551,16.4331,-4.28426,-0.525298,0,-11.975,536.468,2,0.680755,7,0.418543,0.532093,0.467907,1857,530,646,54,339,97,115,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,32,43,4,0,0,0,0,0,5,43,0,1,68,-11915.65047,3,16,0,0,0,1,-2.4,23.1,0.38,41.81,368.15,0
1c5q_ESI_A_decoys_2,-22.901,2.71926,12.4234,-1.15039,0,0,-12.6554,483.05,0,0.68408,5,0.447786,0.490485,0.509515,1673,479,599,60,296,82,106,8,141,41,50,4,0,0,0,0,0,0,0,0,162,46,54,6,0,0,0,0,65,20,16,4,0,0,0,0,0,6,34,0,16,24,-17186.11249,1,15,0,0,0,0,-4.4,32.89,0.15,55.12,364.91,0
1c5q_ESI_A_decoys_3,-34.2536,18.1494,19.0301,-4.73263,-0.0276293,-0.476286,-10.5782,636.025,2,0.658977,9,0.387853,0.546799,0.453201,2794,792,953,72,467,128,163,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,0,9,74,-88537.64802,0,27,0,0,0,0,-0.9,25.82,0.32,61.84,442.46,0
1d4p_BPP_B_decoys_1,-22.7227,5.14635,8.02562,-11.374,-0.726535,0,-23.1255,714.994,1,0.663047,3,0.353384,0.687776,0.312224,2785,727,814,67,405,117,133,11,381,108,123,10,0,0,0,0,0,0,0,0,141,39,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,37,-29741.53214,1,19,1,0,0,0,-0.4,45.96,0.15,107.42,453.04,0
1d4p_BPP_B_decoys_2,-26.6745,64.7692,16.0985,0.360149,0,0,24.3462,760.936,0,0.5954,5,0.297639,0.69778,0.30222,2968,802,911,70,634,181,211,18,0,0,0,0,0,0,0,0,0,0,0,0,156,41,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,0,22,21,92559.78136,0,18,0,0,0,0,2.3,37.4,0.05,99.62,391.99,0
1d4p_BPP_B_decoys_3,-23.7971,3.8381,11.0583,-3.67356,-0.384997,0,-16.1827,713.568,1,0.66054,4,0.369239,0.700393,0.299607,2530,663,782,62,565,156,185,12,286,71,80,7,0,0,0,0,0,0,0,0,159,43,52,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,0,21,21,12811.14065,1,10,0,0,0,0,1.3,37.39,0.33,118.08,472.75,0
1d6v_HOP_H_decoys_1,-21.7886,5.20541,11.1368,-2.54146,0,-0.132697,-11.1389,626.593,1,0.647697,8,0.50624,0.76041,0.23959,3099,689,805,1,297,72,83,0,418,93,112,0,0,0,0,0,0,0,0,0,0,0,0,0,164,37,48,0,0,0,0,0,0,0,0,0,0,35,31,0,0,0,77443.32405,1,22,1,0,0,0,-6.6,35.81,0.48,95.5,559.26,0
1d6v_HOP_H_decoys_2,-24.5046,5.44445,6.496,-3.66323,0,-1.41659,-21.0771,814.014,1,0.62127,6,0.329633,0.668731,0.331269,4062,947,1068,4,488,115,128,0,652,153,156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,23,0,0,0,-211106.8432,1,34,0,0,0,0,-2.2,48.13,0.13,87.5,543.47,0
1d6v_HOP_H_decoys_3,-21.6639,5.70143,10.6995,-9.25224,0,-2.05432,-17.6432,662.087,2,0.633401,7,0.355898,0.6578,0.3422,2765,637,740,0,626,148,148,0,345,77,95,0,0,0,0,0,0,0,0,0,178,43,51,0,0,0,0,0,230,52,58,2,0,0,0,0,0,52,32,0,2,1,164147.9964,5,12,0,0,0,0,-1.8,38.44,0.27,85.08,476.45,0
1dlr_MXA_A_decoys_1,-23.7948,1.74544,16.6225,-15.0336,-2.33931,-1.50029,-25.9007,685.18,3,0.646435,4,0.294197,0.757332,0.242668,2417,576,603,18,607,150,163,3,921,205,225,10,435,115,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,27,2,24,0,-252972.8766,3,13,2,0,0,0,-0.4,50.9,0.42,99.36,372.49,0
1dlr_MXA_A_decoys_2,-26.1938,7.2544,11.08,-9.85514,-1.87181,0,-23.4569,697.396,2,0.653303,6,0.23763,0.762968,0.237032,2865,690,732,20,229,55,57,2,1302,302,334,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,19,3,26,0,-309137.4515,2,18,0,0,0,0,-0.1,38.14,0.29,116.09,388.36,0
1dlr_MXA_A_decoys_3,-18.8602,4.03768,12.0078,-8.70355,-0.627061,-1.42344,-15.2543,613.876,2,0.671808,4,0.335174,0.75341,0.24659,1873,439,485,13,340,83,88,2,881,213,233,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,47,51,3,0,0,0,0,22,1,29,7,3,4,-37120.85719,2,14,0,0,0,0,-1.7,38.43,0.45,119.33,345.79,0
1e7v_LY2_A_decoys_1,-22.5034,6.15302,2.92778,-6.27515,-1.64486,-0.835119,-25.2675,709.734,2,0.48707,5,0.269056,0.69641,0.30359,3408,844,920,50,0,0,0,0,740,177,199,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,0,3,6,-103345.0333,2,18,0,0,0,0,1.9,26.3,0.56,52.6,477.71,0
1e7v_LY2_A_decoys_2,-21.4878,5.14182,6.52063,-6.20589,0,-0.841552,-19.2718,665.676,1,0.494659,6,0.264191,0.748127,0.251873,2711,670,720,41,195,50,51,3,578,150,164,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,41,53,2,0,0,0,0,0,33,22,0,0,2,-174867.1705,1,13,0,0,1,0,0.3,34.54,0,51.8,315.75,0
1e7v_LY2_A_decoys_3,-20.0212,4.69646,-0.0666506,0.382977,0,0,-17.6041,628.619,0,0.488541,2,0.328479,0.902774,0.0972257,2274,563,604,35,676,173,188,8,0,0,0,0,440,115,111,6,0,0,0,0,186,45,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,6,1,35328.5534,1,20,0,0,0,0,-0.3,47.39,0.08,43.08,321.82,0
1eap_HEP_B_decoys_1,-29.9127,36.7511,17.755,-4.30833,-0.448425,0,2.91498,795.426,1,0.612118,8,0.319431,0.735967,0.264033,2862,726,697,6,217,56,53,1,1160,283,287,6,0,0,0,0,0,0,0,0,437,115,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,26,0,0,14,-317404.2979,1,16,0,0,0,2,-4.4,49.52,0.25,113.37,476.05,0
1eap_HEP_B_decoys_2,-29.5977,66.3416,19.3685,-14.0804,-0.433849,0,12.0054,708.3,2,0.614998,8,0.404731,0.661275,0.338725,3150,779,737,7,213,58,47,0,1254,308,286,3,240,54,51,3,0,0,0,0,215,60,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,36,0,2,8,-12517.01213,2,26,0,0,0,0,-2.1,55.56,0.24,111.16,541.47,0
1eap_HEP_B_decoys_3,-16.5904,45.0447,10.8838,-2.91075,0,0,17.2227,615.346,0,0.577713,6,0.459142,0.512248,0.487752,2521,624,580,2,132,29,29,0,867,221,215,1,0,0,0,0,0,0,0,0,244,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,13,0,0,4,-3179.066824,1,11,0,0,0,0,-4.5,49.52,0.25,113.37,473.43,0
1ejn_AGB_A_decoys_1,-32.2814,9.15119,13.6574,-9.90246,0,-0.4587,-24.5738,814.93,1,0.658339,13,0.350628,0.614711,0.385289,2935,791,920,74,894,250,289,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,0,7,31,75207.76722,0,23,0,0,0,0,-4.5,22.67,0.5,86.5,543.91,0
